"Nom de la Station","FORT NELSON"
"Province","COLOMBIE-BRITANNIQUE"
"Latitude","58,84"
"Longitude","-122,57"
"Altitude","380,20"
"ID climatologique","1192948"
"ID de l'OMM","71594"
"ID de TC","VFN"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"E","Valeur estimée"
"M","Données manquantes"
"ND","Non disponible"

"Date/Heure","Année","Mois","Jour","Heure","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2017-12-01 00:00","2017","12","01","00:00","-10,9","","-12,5","","88","","19","","5","","","","95,62","","","","-14","","ND"
"2017-12-01 01:00","2017","12","01","01:00","-10,9","","-12,2","","90","","19","","5","","","","95,63","","","","-14","","ND"
"2017-12-01 02:00","2017","12","01","02:00","-11,0","","-12,5","","89","","21","","13","","","","95,64","","","","-17","","ND"
"2017-12-01 03:00","2017","12","01","03:00","-11,5","","-13,0","","89","","21","","12","","","","95,65","","","","-18","","ND"
"2017-12-01 04:00","2017","12","01","04:00","-11,9","","-13,5","","88","","20","","11","","","","95,66","","","","-18","","ND"
"2017-12-01 05:00","2017","12","01","05:00","-13,1","","-14,4","","89","","21","","6","","","","95,67","","","","-17","","ND"
"2017-12-01 06:00","2017","12","01","06:00","-13,6","","-15,1","","89","","21","","5","","","","95,72","","","","-17","","ND"
"2017-12-01 07:00","2017","12","01","07:00","-16,6","","-18,8","","83","","21","","4","","","","95,75","","","","-20","","ND"
"2017-12-01 08:00","2017","12","01","08:00","-15,1","","-17,0","","86","","20","","7","","","","95,76","","","","-20","","ND"
"2017-12-01 09:00","2017","12","01","09:00","-15,3","","-17,2","","85","","21","","7","","","","95,78","","","","-20","","ND"
"2017-12-01 10:00","2017","12","01","10:00","-14,7","","-16,7","","85","","21","","9","","","","95,80","","","","-20","","ND"
"2017-12-01 11:00","2017","12","01","11:00","-13,7","","-16,0","","83","","21","","13","","","","95,81","","","","-21","","ND"
"2017-12-01 12:00","2017","12","01","12:00","-13,2","","-16,3","","78","","21","","14","","","","95,81","","","","-20","","ND"
"2017-12-01 13:00","2017","12","01","13:00","-12,0","","-15,2","","77","","21","","8","","","","95,83","","","","-17","","ND"
"2017-12-01 14:00","2017","12","01","14:00","-11,1","","-14,3","","77","","21","","10","","","","95,87","","","","-17","","ND"
"2017-12-01 15:00","2017","12","01","15:00","-11,2","","-13,9","","81","","21","","12","","","","95,89","","","","-17","","ND"
"2017-12-01 16:00","2017","12","01","16:00","-11,8","","-13,9","","84","","20","","9","","","","95,93","","","","-17","","ND"
"2017-12-01 17:00","2017","12","01","17:00","-12,7","","-14,6","","86","","21","","10","","","","95,94","","","","-18","","ND"
"2017-12-01 18:00","2017","12","01","18:00","-13,1","","-14,9","","87","","19","","7","","","","95,96","","","","-18","","ND"
"2017-12-01 19:00","2017","12","01","19:00","-13,2","","-15,0","","86","","20","","10","","","","95,98","","","","-19","","ND"
"2017-12-01 20:00","2017","12","01","20:00","-13,6","","-15,5","","86","","20","","11","","","","96,02","","","","-20","","ND"
"2017-12-01 21:00","2017","12","01","21:00","-12,5","","-14,5","","85","","20","","13","","","","96,05","","","","-19","","ND"
"2017-12-01 22:00","2017","12","01","22:00","-12,5","","-14,5","","85","","20","","16","","","","96,08","","","","-20","","ND"
"2017-12-01 23:00","2017","12","01","23:00","-12,7","","-14,7","","85","","21","","13","","","","96,13","","","","-20","","ND"
"2017-12-02 00:00","2017","12","02","00:00","-13,7","","-15,6","","85","","20","","11","","","","96,16","","","","-20","","ND"
"2017-12-02 01:00","2017","12","02","01:00","-14,1","","-16,1","","85","","20","","10","","","","96,19","","","","-20","","ND"
"2017-12-02 02:00","2017","12","02","02:00","-14,6","","-16,7","","85","","20","","10","","","","96,23","","","","-21","","ND"
"2017-12-02 03:00","2017","12","02","03:00","-14,3","","-16,4","","84","","20","","13","","","","96,26","","","","-21","","ND"
"2017-12-02 04:00","2017","12","02","04:00","-15,4","","-17,5","","84","","20","","13","","","","96,29","","","","-23","","ND"
"2017-12-02 05:00","2017","12","02","05:00","-15,0","","-17,0","","85","","20","","12","","","","96,32","","","","-22","","ND"
"2017-12-02 06:00","2017","12","02","06:00","-16,1","","-18,2","","84","","20","","12","","","","96,33","","","","-23","","ND"
"2017-12-02 07:00","2017","12","02","07:00","-16,8","","-18,8","","84","","20","","13","","","","96,34","","","","-25","","ND"
"2017-12-02 08:00","2017","12","02","08:00","-17,4","","-19,4","","85","","20","","9","","","","96,36","","","","-24","","ND"
"2017-12-02 09:00","2017","12","02","09:00","-17,4","","-19,5","","84","","20","","12","","","","96,38","","","","-25","","ND"
"2017-12-02 10:00","2017","12","02","10:00","-16,2","","-18,6","","82","","20","","13","","","","96,38","","","","-24","","ND"
"2017-12-02 11:00","2017","12","02","11:00","-16,4","","-19,2","","79","","20","","12","","","","96,35","","","","-24","","ND"
"2017-12-02 12:00","2017","12","02","12:00","-15,2","","-17,6","","82","","20","","15","","","","96,30","","","","-23","","ND"
"2017-12-02 13:00","2017","12","02","13:00","-14,8","","-17,5","","80","","20","","12","","","","96,26","","","","-22","","ND"
"2017-12-02 14:00","2017","12","02","14:00","-14,6","","-17,2","","81","","20","","11","","","","96,24","","","","-21","","ND"
"2017-12-02 15:00","2017","12","02","15:00","-13,9","","-16,3","","82","","19","","9","","","","96,22","","","","-20","","ND"
"2017-12-02 16:00","2017","12","02","16:00","-13,0","","-15,5","","82","","19","","13","","","","96,21","","","","-20","","ND"
"2017-12-02 17:00","2017","12","02","17:00","-12,4","","-15,1","","80","","20","","12","","","","96,20","","","","-19","","ND"
"2017-12-02 18:00","2017","12","02","18:00","-12,8","","-15,3","","82","","23","","3","","","","96,25","","","","-15","","ND"
"2017-12-02 19:00","2017","12","02","19:00","-14,4","","-16,2","","86","","20","","2","","","","96,26","","","","-16","","ND"
"2017-12-02 20:00","2017","12","02","20:00","-14,2","","-16,3","","84","","22","","7","","","","96,26","","","","-19","","ND"
"2017-12-02 21:00","2017","12","02","21:00","-14,5","","-16,7","","84","","21","","7","","","","96,28","","","","-19","","ND"
"2017-12-02 22:00","2017","12","02","22:00","-14,4","","-16,4","","85","","21","","8","","","","96,31","","","","-20","","ND"
"2017-12-02 23:00","2017","12","02","23:00","-16,0","","-18,0","","85","","24","","2","","","","96,35","","","","-17","","ND"
"2017-12-03 00:00","2017","12","03","00:00","-17,0","","-19,0","","84","","","","0","","","","96,38","","","","","","ND"
"2017-12-03 01:00","2017","12","03","01:00","-18,0","","-20,3","","82","","2","","4","","","","96,43","","","","-21","","ND"
"2017-12-03 02:00","2017","12","03","02:00","-19,9","","-22,4","","80","","3","","8","","","","96,48","","","","-26","","ND"
"2017-12-03 03:00","2017","12","03","03:00","-20,0","","-22,2","","83","","2","","5","","","","96,51","","","","-24","","ND"
"2017-12-03 04:00","2017","12","03","04:00","-20,6","","-23,2","","80","","3","","7","","","","96,55","","","","-26","","ND"
"2017-12-03 05:00","2017","12","03","05:00","-20,9","","-23,3","","81","","3","","9","","","","96,57","","","","-28","","ND"
"2017-12-03 06:00","2017","12","03","06:00","-20,4","","-22,8","","81","","3","","6","","","","96,63","","","","-25","","ND"
"2017-12-03 07:00","2017","12","03","07:00","-20,0","","-22,4","","81","","36","","2","","","","96,67","","","","-22","","ND"
"2017-12-03 08:00","2017","12","03","08:00","-20,0","","-22,5","","81","","6","","2","","","","96,71","","","","-22","","ND"
"2017-12-03 09:00","2017","12","03","09:00","-19,9","","-22,4","","80","","5","","2","","","","96,75","","","","-22","","ND"
"2017-12-03 10:00","2017","12","03","10:00","-19,6","","-22,2","","80","","5","","2","","","","96,81","","","","-21","","ND"
"2017-12-03 11:00","2017","12","03","11:00","-18,7","","-21,3","","80","","34","","4","","","","96,83","","","","-22","","ND"
"2017-12-03 12:00","2017","12","03","12:00","-18,4","","-21,1","","79","","","","0","","","","96,85","","","","","","ND"
"2017-12-03 13:00","2017","12","03","13:00","-17,9","","-20,6","","79","","5","","3","","","","96,91","","","","-20","","ND"
"2017-12-03 14:00","2017","12","03","14:00","-17,4","","-19,7","","82","","7","","1","","","","96,95","","","","-18","","ND"
"2017-12-03 15:00","2017","12","03","15:00","-17,5","","-20,0","","81","","5","","3","","","","96,98","","","","-20","","ND"
"2017-12-03 16:00","2017","12","03","16:00","-17,3","","-19,8","","81","","3","","3","","","","97,01","","","","-20","","ND"
"2017-12-03 17:00","2017","12","03","17:00","-17,5","","-19,8","","83","","","","0","","","","97,03","","","","","","ND"
"2017-12-03 18:00","2017","12","03","18:00","-17,5","","-19,9","","81","","","","0","","","","97,07","","","","","","ND"
