"Nom de la Station","FORT NELSON"
"Province","COLOMBIE-BRITANNIQUE"
"Latitude","58,84"
"Longitude","-122,57"
"Altitude","380,20"
"ID climatologique","1192948"
"ID de l'OMM","71594"
"ID de TC","VFN"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"E","Valeur estimée"
"M","Données manquantes"
"ND","Non disponible"

"Date/Heure","Année","Mois","Jour","Heure","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2017-07-01 00:00","2017","07","01","00:00","15,1","","11,8","","81","","35","","3","","","","96,57","","","","","","ND"
"2017-07-01 01:00","2017","07","01","01:00","14,5","","11,3","","81","","","","0","","","","96,55","","","","","","ND"
"2017-07-01 02:00","2017","07","01","02:00","14,3","","11,9","","85","","24","","1","","","","96,54","","","","","","ND"
"2017-07-01 03:00","2017","07","01","03:00","14,1","","11,3","","83","","27","","3","","","","96,53","","","","","","ND"
"2017-07-01 04:00","2017","07","01","04:00","14,0","","12,0","","88","","20","","8","","","","96,56","","","","","","ND"
"2017-07-01 05:00","2017","07","01","05:00","14,1","","12,2","","89","","19","","4","","","","96,55","","","","","","ND"
"2017-07-01 06:00","2017","07","01","06:00","14,1","","12,4","","89","","19","","2","","","","96,54","","","","","","ND"
"2017-07-01 07:00","2017","07","01","07:00","14,3","","12,9","","91","","","","0","","","","96,54","","","","","","ND"
"2017-07-01 08:00","2017","07","01","08:00","14,6","","13,2","","92","","18","","2","","","","96,54","","","","","","ND"
"2017-07-01 09:00","2017","07","01","09:00","14,8","","13,9","","94","","15","","4","","","","96,54","","","","","","ND"
"2017-07-01 10:00","2017","07","01","10:00","15,5","","14,2","","92","","14","","2","","","","96,51","","","","","","ND"
"2017-07-01 11:00","2017","07","01","11:00","16,6","","14,3","","86","","4","","2","","","","96,48","","","","","","ND"
"2017-07-01 12:00","2017","07","01","12:00","18,0","","14,8","","82","","8","","3","","","","96,44","","","","","","ND"
"2017-07-01 13:00","2017","07","01","13:00","19,5","","13,1","","66","","15","","3","","","","96,42","","","","","","ND"
"2017-07-01 14:00","2017","07","01","14:00","21,1","","13,6","","62","","17","","4","","","","96,38","","","","","","ND"
"2017-07-01 15:00","2017","07","01","15:00","21,5","","12,5","","57","","15","","4","","","","96,33","","","","","","ND"
"2017-07-01 16:00","2017","07","01","16:00","22,3","","13,0","","56","","13","","6","","","","96,30","","25","","","","ND"
"2017-07-01 17:00","2017","07","01","17:00","21,7","","13,0","","58","","8","","3","","","","96,26","","","","","","ND"
"2017-07-01 18:00","2017","07","01","18:00","20,9","","13,3","","62","","18","","7","","","","96,27","","","","","","ND"
"2017-07-01 19:00","2017","07","01","19:00","20,3","","14,3","","68","","23","","8","","","","96,29","","","","","","ND"
"2017-07-01 20:00","2017","07","01","20:00","19,0","","14,8","","77","","32","","8","","","","96,28","","","","","","ND"
"2017-07-01 21:00","2017","07","01","21:00","17,5","","12,1","","70","","31","","11","","","","96,28","","","","","","ND"
"2017-07-01 22:00","2017","07","01","22:00","16,3","","10,9","","71","","33","","7","","","","96,33","","","","","","ND"
"2017-07-01 23:00","2017","07","01","23:00","15,4","","11,6","","78","","26","","4","","","","96,40","","","","","","ND"
"2017-07-02 00:00","2017","07","02","00:00","14,9","","11,6","","81","","30","","3","","","","96,40","","","","","","ND"
"2017-07-02 01:00","2017","07","02","01:00","13,9","","12,1","","89","","21","","6","","","","96,40","","","","","","ND"
"2017-07-02 02:00","2017","07","02","02:00","13,1","","11,7","","91","","21","","3","","","","96,40","","","","","","ND"
"2017-07-02 03:00","2017","07","02","03:00","12,4","","11,5","","94","","24","","5","","","","96,37","","","","","","ND"
"2017-07-02 04:00","2017","07","02","04:00","12,0","","11,4","","96","","19","","6","","","","96,38","","","","","","ND"
"2017-07-02 05:00","2017","07","02","05:00","12,4","","11,7","","95","","21","","4","","","","96,40","","","","","","ND"
"2017-07-02 06:00","2017","07","02","06:00","12,6","","11,2","","91","","17","","4","","","","96,38","","","","","","ND"
"2017-07-02 07:00","2017","07","02","07:00","14,6","","12,5","","87","","22","","2","","","","96,38","","","","","","ND"
"2017-07-02 08:00","2017","07","02","08:00","17,0","","11,8","","72","","17","","5","","","","96,34","","","","","","ND"
"2017-07-02 09:00","2017","07","02","09:00","18,9","","11,4","","62","","22","","4","","","","96,30","","","","","","ND"
"2017-07-02 10:00","2017","07","02","10:00","21,2","","12,3","","57","","22","","4","","","","96,24","","","","","","ND"
"2017-07-02 11:00","2017","07","02","11:00","21,9","","7,8","","40","","20","","6","","","","96,19","","","","","","ND"
"2017-07-02 12:00","2017","07","02","12:00","22,4","","5,6","","34","","20","","4","","","","96,16","","","","","","ND"
"2017-07-02 13:00","2017","07","02","13:00","23,6","","5,4","","31","","10","","3","","","","96,10","","","","","","ND"
"2017-07-02 14:00","2017","07","02","14:00","23,5","","5,6","","31","","14","","6","","","","96,04","","","","","","ND"
"2017-07-02 15:00","2017","07","02","15:00","24,1","","4,9","","29","","6","","5","","","","95,99","","","","","","ND"
"2017-07-02 16:00","2017","07","02","16:00","24,7","","5,5","","29","","5","","4","","","","95,93","","","","","","ND"
"2017-07-02 17:00","2017","07","02","17:00","23,9","","6,3","","32","","5","","3","","","","95,86","","","","","","ND"
