"Nom de la Station","FORT NELSON"
"Province","COLOMBIE-BRITANNIQUE"
"Latitude","58,84"
"Longitude","-122,57"
"Altitude","380,20"
"ID climatologique","1192948"
"ID de l'OMM","71594"
"ID de TC","VFN"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"E","Valeur estimée"
"M","Données manquantes"
"ND","Non disponible"

"Date/Heure","Année","Mois","Jour","Heure","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2017-08-01 00:00","2017","08","01","00:00","11,3","","10,2","","93","","21","","3","","","","98,42","","","","","","ND"
"2017-08-01 01:00","2017","08","01","01:00","11,0","","10,3","","96","","17","","6","","","","98,43","","","","","","ND"
"2017-08-01 02:00","2017","08","01","02:00","10,9","","10,2","","95","","20","","8","","","","98,44","","","","","","ND"
"2017-08-01 03:00","2017","08","01","03:00","10,0","","9,3","","95","","18","","6","","","","98,45","","","","","","ND"
"2017-08-01 04:00","2017","08","01","04:00","9,5","","9,0","","96","","20","","7","","","","98,46","","","","","","ND"
"2017-08-01 05:00","2017","08","01","05:00","9,2","","8,6","","97","","19","","8","","","","98,47","","","","","","ND"
"2017-08-01 06:00","2017","08","01","06:00","9,8","","9,0","","95","","20","","11","","","","98,48","","","","","","ND"
"2017-08-01 07:00","2017","08","01","07:00","11,6","","9,3","","86","","20","","10","","","","98,48","","","","","","ND"
"2017-08-01 08:00","2017","08","01","08:00","13,6","","9,6","","77","","20","","10","","","","98,48","","","","","","ND"
"2017-08-01 09:00","2017","08","01","09:00","16,0","","9,8","","67","","15","","5","","","","98,44","","","","","","ND"
"2017-08-01 10:00","2017","08","01","10:00","18,5","","9,8","","57","","18","","7","","","","98,39","","","","","","ND"
"2017-08-01 11:00","2017","08","01","11:00","20,5","","9,1","","48","","17","","6","","","","98,34","","","","","","ND"
"2017-08-01 12:00","2017","08","01","12:00","22,0","","7,6","","39","","21","","9","","","","98,30","","","","","","ND"
"2017-08-01 13:00","2017","08","01","13:00","22,5","","5,8","","34","","20","","6","","","","98,28","","","","","","ND"
"2017-08-01 14:00","2017","08","01","14:00","23,1","","5,8","","33","","20","","4","","","","98,20","","","","","","ND"
"2017-08-01 15:00","2017","08","01","15:00","24,1","","7,4","","34","","18","","8","","","","98,15","","","","","","ND"
"2017-08-01 16:00","2017","08","01","16:00","24,4","","5,6","","30","","17","","5","","","","98,08","","","","","","ND"
"2017-08-01 17:00","2017","08","01","17:00","24,5","","5,2","","29","","21","","2","","","","98,03","","","","","","ND"
"2017-08-01 18:00","2017","08","01","18:00","24,0","","5,3","","30","","18","","3","","","","97,97","","","","","","ND"
"2017-08-01 19:00","2017","08","01","19:00","22,9","","8,7","","40","","13","","4","","","","97,95","","","","","","ND"
"2017-08-01 20:00","2017","08","01","20:00","21,1","","9,5","","47","","14","","2","","","","97,93","","","","","","ND"
"2017-08-01 21:00","2017","08","01","21:00","20,1","","9,5","","50","","15","","4","","","","97,93","","","","","","ND"
"2017-08-01 22:00","2017","08","01","22:00","19,1","","9,3","","53","","19","","2","","","","97,90","","","","","","ND"
"2017-08-01 23:00","2017","08","01","23:00","16,6","","10,1","","66","","22","","2","","","","97,89","","","","","","ND"
"2017-08-02 00:00","2017","08","02","00:00","15,0","","10,4","","74","","26","","3","","","","97,88","","","","","","ND"
"2017-08-02 01:00","2017","08","02","01:00","14,5","","11,0","","80","","","","0","","","","97,87","","","","","","ND"
"2017-08-02 02:00","2017","08","02","02:00","14,2","","10,6","","79","","19","","6","","","","97,85","","","","","","ND"
"2017-08-02 03:00","2017","08","02","03:00","14,1","","10,7","","80","","21","","7","","","","97,84","","","","","","ND"
"2017-08-02 04:00","2017","08","02","04:00","13,2","","10,3","","83","","23","","4","","","","97,83","","","","","","ND"
"2017-08-02 05:00","2017","08","02","05:00","12,2","","10,3","","89","","17","","6","","","","97,81","","","","","","ND"
"2017-08-02 06:00","2017","08","02","06:00","13,4","","10,4","","82","","19","","5","","","","97,82","","","","","","ND"
"2017-08-02 07:00","2017","08","02","07:00","15,2","","11,0","","76","","18","","7","","","","97,84","","","","","","ND"
"2017-08-02 08:00","2017","08","02","08:00","17,1","","11,0","","67","","19","","8","","","","97,82","","","","","","ND"
"2017-08-02 09:00","2017","08","02","09:00","19,4","","11,7","","61","","20","","4","","","","97,78","","","","","","ND"
"2017-08-02 10:00","2017","08","02","10:00","21,4","","12,2","","56","","15","","3","","","","97,76","","","","","","ND"
"2017-08-02 11:00","2017","08","02","11:00","23,3","","12,9","","52","","16","","6","","","","97,72","","26","","","","ND"
"2017-08-02 12:00","2017","08","02","12:00","25,2","","8,6","","35","","20","","8","","","","97,67","","26","","","","ND"
"2017-08-02 13:00","2017","08","02","13:00","26,0","","7,9","","32","","19","","10","","","","97,66","","26","","","","ND"
"2017-08-02 14:00","2017","08","02","14:00","26,6","","8,8","","33","","18","","10","","","","97,61","","27","","","","ND"
"2017-08-02 15:00","2017","08","02","15:00","27,3","","8,6","","31","","18","","8","","","","97,55","","28","","","","ND"
"2017-08-02 16:00","2017","08","02","16:00","27,3","","9,3","","32","","34","","10","","","","97,49","","28","","","","ND"
"2017-08-02 17:00","2017","08","02","17:00","27,1","","8,2","","30","","2","","2","","","","97,45","","28","","","","ND"
"2017-08-02 18:00","2017","08","02","18:00","26,3","","7,5","","30","","5","","4","","","","97,44","","27","","","","ND"
"2017-08-02 19:00","2017","08","02","19:00","25,3","","7,6","","32","","35","","5","","","","97,43","","26","","","","ND"
"2017-08-02 20:00","2017","08","02","20:00","24,2","","8,4","","36","","34","","3","","","","97,42","","25","","","","ND"
"2017-08-02 21:00","2017","08","02","21:00","22,0","","10,2","","47","","34","","3","","","","97,44","","","","","","ND"
"2017-08-02 22:00","2017","08","02","22:00","20,1","","14,7","","71","","","","0","","","","97,44","","","","","","ND"
"2017-08-02 23:00","2017","08","02","23:00","19,5","","13,6","","69","","24","","3","","","","97,42","","","","","","ND"
"2017-08-03 00:00","2017","08","03","00:00","18,0","","12,9","","72","","25","","2","","","","97,39","","","","","","ND"
"2017-08-03 01:00","2017","08","03","01:00","17,8","","13,7","","77","","16","","5","","","","97,38","","","","","","ND"
"2017-08-03 02:00","2017","08","03","02:00","17,9","","12,9","","73","","25","","9","","","","97,43","","","","","","ND"
"2017-08-03 03:00","2017","08","03","03:00","17,4","","13,0","","76","","25","","4","","","","97,35","","","","","","ND"
"2017-08-03 04:00","2017","08","03","04:00","16,1","","12,9","","82","","3","","4","","","","97,37","","","","","","ND"
"2017-08-03 05:00","2017","08","03","05:00","16,1","","13,1","","83","","20","","6","","","","97,36","","","","","","ND"
"2017-08-03 06:00","2017","08","03","06:00","16,2","","13,3","","83","","19","","9","","","","97,37","","","","","","ND"
"2017-08-03 07:00","2017","08","03","07:00","17,0","","12,6","","75","","22","","9","","","","97,39","","","","","","ND"
"2017-08-03 08:00","2017","08","03","08:00","16,4","","12,8","","80","","10","","2","","","","97,41","","","","","","ND"
"2017-08-03 09:00","2017","08","03","09:00","17,8","","11,8","","68","","24","","7","","","","97,39","","","","","","ND"
"2017-08-03 10:00","2017","08","03","10:00","18,6","","12,4","","67","","20","","9","","","","97,39","","","","","","ND"
"2017-08-03 11:00","2017","08","03","11:00","20,7","","11,5","","56","","25","","15","","","","97,42","","","","","","ND"
"2017-08-03 12:00","2017","08","03","12:00","21,8","","11,1","","50","","25","","10","","","","97,43","","","","","","ND"
"2017-08-03 13:00","2017","08","03","13:00","23,6","","12,5","","50","","26","","11","","","","97,44","","26","","","","ND"
"2017-08-03 14:00","2017","08","03","14:00","25,9","","11,3","","40","","22","","8","","","","97,37","","28","","","","ND"
"2017-08-03 15:00","2017","08","03","15:00","26,8","","9,0","","33","","35","","7","","","","97,35","","28","","","","ND"
"2017-08-03 16:00","2017","08","03","16:00","22,9","","9,1","","42","","4","","20","","","","97,38","","","","","","ND"
"2017-08-03 17:00","2017","08","03","17:00","20,5","","12,0","","58","","34","","5","","","","97,45","","","","","","ND"
"2017-08-03 18:00","2017","08","03","18:00","19,2","","13,5","","69","","8","","10","","","","97,44","","","","","","ND"
"2017-08-03 19:00","2017","08","03","19:00","19,7","","12,5","","63","","21","","8","","","","97,48","","","","","","ND"
"2017-08-03 20:00","2017","08","03","20:00","19,8","","11,4","","58","","19","","10","","","","97,48","","","","","","ND"
"2017-08-03 21:00","2017","08","03","21:00","17,1","","13,1","","77","","24","","7","","","","97,52","","","","","","ND"
"2017-08-03 22:00","2017","08","03","22:00","16,0","","13,0","","82","","17","","4","","","","97,53","","","","","","ND"
