"Nom de la Station","FORT NELSON"
"Province","COLOMBIE-BRITANNIQUE"
"Opérateur de station opérationnelle","Environnement et Changement climatique Canada - Service météorologique du Canada"
"Latitude","58,84"
"Longitude","-122,57"
"Altitude","380,20"
"ID climatologique","1192948"
"ID de l'OMM","71594"
"ID de TC","VFN"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"E","Valeur estimée"
"M","Données manquantes"
"ND","Non disponible"

"Date/Heure","Année","Mois","Jour","Heure","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2019-01-01 00:00","2019","01","01","00:00","-13,5","","-15,4","","85","","21","","14","","","","95,66","","","","-21","","ND"
"2019-01-01 01:00","2019","01","01","01:00","-13,5","","-15,7","","83","","18","","9","","","","95,69","","","","-19","","ND"
"2019-01-01 02:00","2019","01","01","02:00","3,8","","-3,9","","57","","30","","23","","","","95,84","","","","","","ND"
"2019-01-01 03:00","2019","01","01","03:00","-9,0","","-11,5","","82","","11","","3","","","","96,00","","","","-11","","ND"
"2019-01-01 04:00","2019","01","01","04:00","4,4","","-5,0","","50","","30","","24","","","","96,05","","","","","","ND"
"2019-01-01 05:00","2019","01","01","05:00","4,0","","-5,4","","50","","33","","14","","","","96,07","","","","","","ND"
"2019-01-01 06:00","2019","01","01","06:00","3,8","","-5,8","","50","","34","","9","","","","96,11","","","","","","ND"
"2019-01-01 07:00","2019","01","01","07:00","-3,4","","-6,1","","81","","18","","7","","","","96,11","","","","-6","","ND"
"2019-01-01 08:00","2019","01","01","08:00","-4,1","","-6,8","","81","","20","","7","","","","96,09","","","","-7","","ND"
"2019-01-01 09:00","2019","01","01","09:00","-4,5","","-7,4","","80","","21","","9","","","","96,08","","","","-8","","ND"
