"Nom de la Station","FORT NELSON"
"Province","COLOMBIE-BRITANNIQUE"
"Opérateur de station opérationnelle","Environnement et Changement climatique Canada - Service météorologique du Canada"
"Latitude","58,84"
"Longitude","-122,57"
"Altitude","380,20"
"ID climatologique","1192948"
"ID de l'OMM","71594"
"ID de TC","VFN"
"Toutes les heures sont exprimées en heure normale locale (HNL). Pour convertir l'heure locale en heure avancée de l'Est (HAE), ajoutez 1 heure s'il y a lieu."

"Légende"
"E","Valeur estimée"
"M","Données manquantes"
"ND","Non disponible"

"Date/Heure","Année","Mois","Jour","Heure","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"2018-09-01 00:00","2018","09","01","00:00","8,5","","4,5","","76","","31","","3","","","","96,09","","","","","","ND"
"2018-09-01 01:00","2018","09","01","01:00","8,4","","5,9","","84","","35","","15","","","","96,22","","","","","","ND"
"2018-09-01 02:00","2018","09","01","02:00","5,2","","2,4","","82","","35","","14","","","","96,38","","","","","","ND"
"2018-09-01 03:00","2018","09","01","03:00","4,3","","1,7","","83","","33","","7","","","","96,53","","","","","","ND"
"2018-09-01 04:00","2018","09","01","04:00","3,8","","1,4","","85","","36","","4","","","","96,55","","","","","","ND"
"2018-09-01 05:00","2018","09","01","05:00","3,6","","0,9","","83","","35","","6","","","","96,63","","","","","","ND"
"2018-09-01 06:00","2018","09","01","06:00","3,5","","0,8","","83","","30","","3","","","","96,69","","","","","","ND"
"2018-09-01 07:00","2018","09","01","07:00","5,3","","1,4","","76","","31","","5","","","","96,73","","","","","","ND"
"2018-09-01 08:00","2018","09","01","08:00","6,4","","0,4","","66","","23","","4","","","","96,70","","","","","","ND"
"2018-09-01 09:00","2018","09","01","09:00","7,5","","1,2","","64","","20","","9","","","","96,66","","","","","","ND"
"2018-09-01 10:00","2018","09","01","10:00","8,2","","2,1","","65","","22","","11","","","","96,62","","","","","","ND"
"2018-09-01 11:00","2018","09","01","11:00","10,3","","3,3","","62","","14","","7","","","","96,55","","","","","","ND"
"2018-09-01 12:00","2018","09","01","12:00","11,2","","3,9","","61","","11","","4","","","","96,56","","","","","","ND"
"2018-09-01 13:00","2018","09","01","13:00","14,3","","1,0","","40","","34","","7","","","","96,54","","","","","","ND"
"2018-09-01 14:00","2018","09","01","14:00","15,1","","0,7","","37","","32","","11","","","","96,53","","","","","","ND"
"2018-09-01 15:00","2018","09","01","15:00","15,9","","0,9","","36","","33","","13","","","","96,51","","","","","","ND"
"2018-09-01 16:00","2018","09","01","16:00","16,4","","0,0","","33","","32","","8","","","","96,45","","","","","","ND"
"2018-09-01 17:00","2018","09","01","17:00","16,5","","-0,2","","32","","32","","8","","","","96,43","","","","","","ND"
"2018-09-01 18:00","2018","09","01","18:00","15,6","","1,3","","38","","33","","4","","","","96,42","","","","","","ND"
"2018-09-01 19:00","2018","09","01","19:00","12,3","","3,5","","55","","23","","3","","","","96,43","","","","","","ND"
"2018-09-01 20:00","2018","09","01","20:00","9,0","","4,7","","74","","26","","3","","","","96,44","","","","","","ND"
"2018-09-01 21:00","2018","09","01","21:00","7,2","","3,7","","78","","22","","7","","","","96,44","","","","","","ND"
"2018-09-01 22:00","2018","09","01","22:00","7,7","","4,8","","82","","20","","6","","","","96,43","","","","","","ND"
"2018-09-01 23:00","2018","09","01","23:00","6,2","","3,8","","85","","21","","3","","","","96,45","","","","","","ND"
"2018-09-02 00:00","2018","09","02","00:00","6,5","","5,0","","91","","20","","7","","","","96,45","","","","","","ND"
"2018-09-02 01:00","2018","09","02","01:00","6,1","","4,7","","91","","20","","11","","","","96,42","","","","","","ND"
"2018-09-02 02:00","2018","09","02","02:00","5,5","","4,3","","92","","21","","13","","","","96,40","","","","","","ND"
"2018-09-02 03:00","2018","09","02","03:00","4,4","","3,4","","93","","20","","10","","","","96,38","","","","","","ND"
"2018-09-02 04:00","2018","09","02","04:00","4,0","","3,0","","93","","19","","11","","","","96,35","","","","","","ND"
"2018-09-02 05:00","2018","09","02","05:00","3,2","","2,4","","94","","19","","11","","","","96,32","","","","","","ND"
"2018-09-02 06:00","2018","09","02","06:00","3,2","","2,1","","92","","20","","11","","","","96,32","","","","","","ND"
"2018-09-02 07:00","2018","09","02","07:00","4,0","","2,2","","88","","21","","11","","","","96,31","","","","","","ND"
"2018-09-02 08:00","2018","09","02","08:00","5,7","","2,4","","79","","19","","8","","","","96,26","","","","","","ND"
"2018-09-02 09:00","2018","09","02","09:00","9,2","","3,8","","69","","19","","7","","","","96,23","","","","","","ND"
"2018-09-02 10:00","2018","09","02","10:00","11,7","","4,2","","60","","19","","5","","","","96,22","","","","","","ND"
"2018-09-02 11:00","2018","09","02","11:00","13,3","","4,5","","56","","21","","6","","","","96,19","","","","","","ND"
"2018-09-02 12:00","2018","09","02","12:00","14,9","","4,6","","50","","22","","3","","","","96,17","","","","","","ND"
"2018-09-02 13:00","2018","09","02","13:00","16,5","","5,0","","47","","22","","2","","","","96,14","","","","","","ND"
"2018-09-02 14:00","2018","09","02","14:00","13,5","","6,1","","61","","33","","10","","","","96,20","","","","","","ND"
